OBJECTID,x,y
1,109.5,18.5
2,109.5,19.5
3,110.5,19.5
4,110.5,20.5
5,100.5,21.5
6,101.5,21.5
7,109.5,21.5
8,110.5,21.5
9,99.5,22.5
10,100.5,22.5
11,101.5,22.5
12,107.5,22.5
13,108.5,22.5
14,109.5,22.5
15,110.5,22.5
16,111.5,22.5
17,112.5,22.5
18,113.5,22.5
19,114.5,22.5
20,120.5,22.5
21,99.5,23.5
22,100.5,23.5
23,101.5,23.5
24,102.5,23.5
25,103.5,23.5
26,104.5,23.5
27,105.5,23.5
28,106.5,23.5
29,107.5,23.5
30,108.5,23.5
31,109.5,23.5
32,110.5,23.5
33,111.5,23.5
34,112.5,23.5
35,113.5,23.5
36,114.5,23.5
37,115.5,23.5
38,116.5,23.5
39,120.5,23.5
40,98.5,24.5
41,99.5,24.5
42,100.5,24.5
43,101.5,24.5
44,102.5,24.5
45,103.5,24.5
46,104.5,24.5
47,105.5,24.5
48,106.5,24.5
49,107.5,24.5
50,108.5,24.5
51,109.5,24.5
52,110.5,24.5
53,111.5,24.5
54,112.5,24.5
55,113.5,24.5
56,114.5,24.5
57,115.5,24.5
58,116.5,24.5
59,117.5,24.5
60,121.5,24.5
61,98.5,25.5
62,99.5,25.5
63,100.5,25.5
64,101.5,25.5
65,102.5,25.5
66,103.5,25.5
67,104.5,25.5
68,105.5,25.5
69,106.5,25.5
70,107.5,25.5
71,108.5,25.5
72,109.5,25.5
73,110.5,25.5
74,111.5,25.5
75,112.5,25.5
76,113.5,25.5
77,114.5,25.5
78,115.5,25.5
79,116.5,25.5
80,117.5,25.5
81,118.5,25.5
82,119.5,25.5
83,99.5,26.5
84,100.5,26.5
85,101.5,26.5
86,102.5,26.5
87,103.5,26.5
88,104.5,26.5
89,105.5,26.5
90,106.5,26.5
91,107.5,26.5
92,108.5,26.5
93,109.5,26.5
94,110.5,26.5
95,111.5,26.5
96,112.5,26.5
97,113.5,26.5
98,114.5,26.5
99,115.5,26.5
100,116.5,26.5
101,117.5,26.5
102,118.5,26.5
103,119.5,26.5
104,92.5,27.5
105,93.5,27.5
106,99.5,27.5
107,100.5,27.5
108,101.5,27.5
109,102.5,27.5
110,103.5,27.5
111,104.5,27.5
112,105.5,27.5
113,106.5,27.5
114,107.5,27.5
115,108.5,27.5
116,109.5,27.5
117,110.5,27.5
118,111.5,27.5
119,112.5,27.5
120,113.5,27.5
121,114.5,27.5
122,115.5,27.5
123,116.5,27.5
124,117.5,27.5
125,118.5,27.5
126,119.5,27.5
127,120.5,27.5
128,85.5,28.5
129,86.5,28.5
130,87.5,28.5
131,88.5,28.5
132,89.5,28.5
133,90.5,28.5
134,91.5,28.5
135,92.5,28.5
136,93.5,28.5
137,94.5,28.5
138,95.5,28.5
139,96.5,28.5
140,97.5,28.5
141,98.5,28.5
142,99.5,28.5
143,100.5,28.5
144,101.5,28.5
145,102.5,28.5
146,103.5,28.5
147,104.5,28.5
148,105.5,28.5
149,106.5,28.5
150,107.5,28.5
151,108.5,28.5
152,109.5,28.5
153,110.5,28.5
154,111.5,28.5
155,112.5,28.5
156,113.5,28.5
157,114.5,28.5
158,115.5,28.5
159,116.5,28.5
160,117.5,28.5
161,118.5,28.5
162,119.5,28.5
163,120.5,28.5
164,121.5,28.5
165,83.5,29.5
166,84.5,29.5
167,85.5,29.5
168,86.5,29.5
169,87.5,29.5
170,88.5,29.5
171,89.5,29.5
172,90.5,29.5
173,91.5,29.5
174,92.5,29.5
175,93.5,29.5
176,94.5,29.5
177,95.5,29.5
178,96.5,29.5
179,97.5,29.5
180,98.5,29.5
181,99.5,29.5
182,100.5,29.5
183,101.5,29.5
184,102.5,29.5
185,103.5,29.5
186,104.5,29.5
187,105.5,29.5
188,106.5,29.5
189,107.5,29.5
190,108.5,29.5
191,109.5,29.5
192,110.5,29.5
193,111.5,29.5
194,112.5,29.5
195,113.5,29.5
196,114.5,29.5
197,115.5,29.5
