lon,lat,sol,win
116.4,39.9,4.32,3.61
116.38,39.9,4.32,3.61
116.42,39.93,4.32,3.61
116.37,39.92,4.32,3.61
116.43,39.88,4.32,3.61
116.35,39.87,4.32,3.61
116.43,39.92,4.32,3.61
116.28,39.85,4.32,3.61
116.22,39.9,4.32,3.61
116.3,39.95,4.32,3.61
116.1,39.93,4.32,3.61
116.13,39.75,4.32,3.61
116.65,39.92,4.32,3.61
116.65,40.13,4.4,4.52
116.23,40.22,4.4,4.52
116.33,39.73,4.32,3.61
116.63,40.32,4.4,4.52
117.12,40.13,4.43,4.46
116.83,40.37,4.4,4.52
115.97,40.45,4.51,4.58
117.2,39.12,4.36,3.52
117.2,39.12,4.36,3.52
117.22,39.12,4.36,3.52
117.22,39.12,4.36,3.52
117.15,39.13,4.36,3.52
117.18,39.15,4.36,3.52
117.15,39.17,4.36,3.52
117.65,39.02,4.36,3.52
117.8,39.25,4.36,3.52
117.45,38.83,4.32,3.3
117.3,39.08,4.36,3.52
117,39.13,4.36,3.52
117.38,38.98,4.32,3.3
117.13,39.22,4.36,3.52
117.03,39.38,4.36,3.52
117.3,39.72,4.36,3.52
117.68,39.03,4.36,3.52
117.82,39.33,4.36,3.52
116.92,38.93,4.33,3.4
117.4,40.05,4.43,4.46
114.52,38.05,4.28,3.57
114.52,38.05,4.28,3.57
114.5,38.05,4.28,3.57
114.9,40.78,4.53,4.58
114.5,37.07,4.25,3.38
114.47,37.05,4.25,3.38
114.87,40.83,4.53,4.58
114.47,38.03,4.28,3.57
114.47,38.05,4.28,3.57
116.87,38.32,4.33,3.4
114.05,38.08,4.28,3.57
114.52,38.02,4.28,3.57
114.13,38.03,4.28,3.57
114.57,38.15,4.28,3.57
114.65,37.88,4.25,3.38
114.55,38.43,4.28,3.57
114.37,38.3,4.28,3.57
114.6,37.6,4.25,3.38
115.2,38.18,4.32,3.51
114.38,37.67,4.25,3.38
114.97,38.18,4.28,3.57
114.2,38.25,4.28,3.57
114.52,37.75,4.25,3.38
114.77,37.75,4.25,3.38
115.22,37.92,4.3,3.33
114.83,38.03,4.28,3.57
115.03,38.03,4.32,3.51
114.68,38.35,4.28,3.57
114.3,38.08,4.28,3.57
118.2,39.63,4.36,4.29
118.17,39.63,4.36,4.29
118.22,39.63,4.36,4.29
118.42,39.73,4.36,4.29
118.27,39.68,4.36,4.29
118.1,39.57,4.36,4.29
118.17,39.83,4.36,4.29
118.7,39.75,4.36,4.29
118.68,39.5,4.36,4.29
118.9,39.42,4.36,4.29
118.32,40.15,4.43,4.83
117.73,39.88,4.36,3.52
118.45,39.27,4.36,4.29
117.95,40.18,4.43,4.46
118.7,40.02,4.43,4.83
119.6,39.93,4.21,5.07
119.6,39.93,4.21,5.07
119.77,40,4.39,5.2
119.48,39.83,4.21,5.07
118.95,40.4,4.43,4.83
119.17,39.7,4.21,5.07
119.23,39.88,4.21,5.07
118.87,39.88,4.36,4.29
114.48,36.62,4.21,3.17
114.48,36.6,4.21,3.17
114.48,36.63,4.21,3.17
114.45,36.63,4.21,3.17
114.2,36.42,4.21,3.17
114.53,36.6,4.21,3.17
114.62,36.35,4.21,3.17
114.68,36.43,4.21,3.17
115.15,36.28,4.26,3.19
113.67,36.57,4.33,3.15
114.37,36.35,4.21,3.17
114.8,36.55,4.21,3.17
114.48,36.78,4.21,3.17
115.17,36.82,4.26,3.19
114.87,36.92,4.21,3.17
114.93,36.48,4.21,3.17
115.3,36.53,4.26,3.19
114.93,36.37,4.21,3.17
114.95,36.78,4.21,3.17
114.2,36.7,4.21,3.17
114.48,37.07,4.25,3.38
114.5,38.05,4.28,3.57
114.9,40.78,4.53,4.58
114.5,37.07,4.25,3.38
114.87,40.83,4.53,4.58
114.47,38.03,4.28,3.57
114.47,37.05,4.25,3.38
114.5,37.08,4.25,3.38
114.5,37.43,4.25,3.38
114.52,37.3,4.25,3.38
114.68,37.5,4.25,3.38
114.77,37.35,4.25,3.38
114.68,37.13,4.25,3.38
114.68,37,4.25,3.38
114.92,37.62,4.25,3.38
115.03,37.22,4.3,3.33
115.25,37.53,4.3,3.33
115.15,37.07,4.3,3.33
115.03,37.07,4.3,3.33
115.25,36.98,4.26,3.19
115.67,37.07,4.3,3.33
115.5,36.85,4.26,3.19
115.38,37.35,4.3,3.33
114.5,36.85,4.21,3.17
115.47,38.87,4.32,3.51
115.45,38.87,4.32,3.51
115.48,38.87,4.32,3.51
115.5,38.85,4.32,3.51
115.32,38.95,4.32,3.51
115.48,38.77,4.32,3.51
115.72,39.4,4.3,3.71
114.18,38.85,4.28,3.57
115.65,39.02,4.3,3.71
115.77,39.27,4.3,3.71
114.98,38.75,4.28,3.57
115.78,38.68,4.32,3.51
115.87,39.05,4.3,3.71
114.68,39.35,4.41,3.75
115.15,38.72,4.32,3.51
115.93,38.92,4.32,3.51
115.5,39.35,4.3,3.71
114.7,38.62,4.28,3.57
115.57,38.48,4.32,3.51
115.13,38.83,4.32,3.51
115.47,38.45,4.32,3.51
116.1,38.98,4.33,3.4
115.97,39.48,4.3,3.71
114.97,38.52,4.28,3.57
115.32,38.42,4.32,3.51
115.85,39.33,4.3,3.71
114.88,40.82,4.53,4.58
114.5,38.05,4.28,3.57
114.9,40.78,4.53,4.58
114.5,37.07,4.25,3.38
114.87,40.83,4.53,4.58
114.47,38.03,4.28,3.57
114.47,37.05,4.25,3.38
115.05,40.6,4.51,4.58
115.27,40.48,4.51,4.58
115.02,40.55,4.51,4.58
114.7,41.15,4.55,6.07
114.62,41.85,4.55,6.07
115.7,41.67,4.45,6.14
113.97,41.08,4.53,5.91
